tempo,       mem, livreMem, swap, livreSwap, cpu, disponivel
4,     586,  1369,    0  ,  1688, 1.35   ,  1451
8,     586,  1369,    0  ,  1688, 5.57   ,  1451
12,     586,  1369,    0  ,  1688, 2.18   ,  1451
16,     586,  1369,    0  ,  1688, 0.02   ,  1451
20,     571,  1384,    0  ,  1688, 9.32   ,  1467
24,     562,  1392,    0  ,  1688, 8.23   ,  1475
28,     562,  1392,    0  ,  1688, 7.30   ,  1475
32,     562,  1392,    0  ,  1688, 6.54   ,  1475
36,     562,  1392,    0  ,  1688, 5.95   ,  1475
40,     562,  1394,    0  ,  1688, 5.45   ,  1477
44,     559,  1396,    0  ,  1688, 5.03   ,  1479
48,     558,  1397,    0  ,  1688, 4.68   ,  1481
52,     556,  1399,    0  ,  1688, 4.36   ,  1481
56,     556,  1399,    0  ,  1688, 4.10   ,  1481
60,     556,  1399,    0  ,  1688, 3.88   ,  1481
64,     556,  1399,    0  ,  1688, 3.67   ,  1481
68,     556,  1399,    0  ,  1688, 3.48   ,  1481
72,     556,  1399,    0  ,  1688, 3.32   ,  1481
77,     556,  1399,    0  ,  1688, 3.16   ,  1481
81,     556,  1399,    0  ,  1688, 3.03   ,  1481
85,     556,  1399,    0  ,  1688, 2.90   ,  1481
89,     556,  1399,    0  ,  1688, 2.78   ,  1481
93,     556,  1398,    0  ,  1688, 2.67   ,  1481
97,     556,  1398,    0  ,  1688, 2.58   ,  1481
101,     556,  1398,    0  ,  1688, 2.49   ,  1481
105,     556,  1398,    0  ,  1688, 2.41   ,  1481
109,     556,  1398,    0  ,  1688, 2.32   ,  1481
113,     556,  1398,    0  ,  1688, 2.26   ,  1481
117,     556,  1398,    0  ,  1688, 2.19   ,  1481
121,     556,  1399,    0  ,  1688, 2.12   ,  1482
125,     556,  1399,    0  ,  1688, 2.07   ,  1482
129,     556,  1399,    0  ,  1688, 2.02   ,  1482
133,     556,  1399,    0  ,  1688, 1.97   ,  1482
137,     555,  1400,    0  ,  1688, 1.92   ,  1483
141,     555,  1400,    0  ,  1688, 1.87   ,  1483
145,     555,  1400,    0  ,  1688, 1.83   ,  1483
149,     555,  1400,    0  ,  1688, 1.79   ,  1482
153,     555,  1400,    0  ,  1688, 1.75   ,  1482
157,     555,  1400,    0  ,  1688, 1.71   ,  1482
161,     555,  1400,    0  ,  1688, 1.67   ,  1482
165,     555,  1400,    0  ,  1688, 1.64   ,  1482
169,     555,  1400,    0  ,  1688, 1.61   ,  1482
173,     555,  1400,    0  ,  1688, 1.58   ,  1482
177,     555,  1400,    0  ,  1688, 1.55   ,  1482
182,     555,  1400,    0  ,  1688, 1.52   ,  1482
186,     555,  1400,    0  ,  1688, 1.49   ,  1482
190,     555,  1400,    0  ,  1688, 1.47   ,  1482
194,     555,  1400,    0  ,  1688, 1.44   ,  1482
198,     555,  1400,    0  ,  1688, 1.42   ,  1483
202,     554,  1401,    0  ,  1688, 1.39   ,  1483
206,     554,  1401,    0  ,  1688, 1.37   ,  1483
210,     554,  1401,    0  ,  1688, 1.35   ,  1483
214,     554,  1401,    0  ,  1688, 1.32   ,  1483
218,     554,  1401,    0  ,  1688, 1.30   ,  1483
222,     554,  1401,    0  ,  1688, 1.28   ,  1483
226,     554,  1401,    0  ,  1688, 1.26   ,  1483
230,     554,  1401,    0  ,  1688, 1.24   ,  1483
234,     554,  1401,    0  ,  1688, 1.23   ,  1483
